id_local,arquivo_rel,sha256_arquivo,extract_status,categoria_pos_auditoria,reconcile_outcome,output_tag,motivo_interno
000001,drive-download-20260403T124026Z-3-001_224929\605042631.pdf,a0742755f8fcc9fa01a356792399750eee74e3f5f5ce4c871368aa12f7e60319,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000002,drive-download-20260403T124026Z-3-001_224929\605044013.pdf,4b05a4cefe734b48311dbd169af14f35c35391de7b3de2d43d4421c253e75c22,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000003,drive-download-20260403T124026Z-3-001_224929\605045007.pdf,d0fa9556ce98654de9648fd11427aa4039d5cf616c6b6f2a9f7f327a1f5d76a9,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000004,drive-download-20260403T124026Z-3-001_224929\605045008.pdf,cd58fa693a7885e46117462fa2df69ac5dbfd78404d2c55f331206c13a721e0f,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000005,drive-download-20260403T124026Z-3-001_224929\605046002.pdf,bfc57f7960c496aab9e91055e63666b646c08f9a3b5b50e7a2308ea61b8f44f3,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000006,drive-download-20260403T124026Z-3-001_224929\605046013.pdf,658ab659318c97deaf42d9709465b4190f1ac880e6588b75b6ccd6c98e71b7a6,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000007,drive-download-20260403T124026Z-3-001_224929\605046015.pdf,db28c6561216ec40815d2a62990552230c9fe4c54389fcdc25596c94f287fbb5,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000008,drive-download-20260403T124026Z-3-001_224929\605046021.pdf,be78ec4b7086082c795e6770717be0ff8f0e1e3dd33c5521a84e7e5f709b3577,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000009,drive-download-20260403T124026Z-3-001_224929\605046022.pdf,a24e45267c1bca5bc4b42d7d456d105e0d18512f58c345aa63c661daf9003fda,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000010,drive-download-20260403T124026Z-3-001_224929\605046023.pdf,0ac81af2a9ab4d014f0d44a99806da4bd189759b90f863a58298045b5f8b1bec,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
000011,drive-download-20260403T124026Z-3-001_224929\605046027.pdf,e26e66f197c1eef38db7c1e64e9d9865c76df5ad49708ee8a5e2ed1501fd36b8,VERDE_AUTO_GEMINI,VERDE_SEGURO,PASS1_V2_BLOCO_28_VERDE_AUTO,extraidos_motor_fase7a_pass1_v2_block_28_flash,categorize_SAFE_GREEN_PASS1_V2_BLOCO_28
