id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,categoria,notas,campos_obrig_faltando,alertas_criticos_A,audit_normalizacao_rastreavel,audit_warnings_A,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,gemini_falhou,gemini_erro_resumo
000001,drive-download-20260403T124026Z-3-001_224929\605060004.pdf,,1,trifasico,1/2,1680,220/380,4,60,,24,70,"68,00",SEM,1 X 24 (COBRE) - 10.5002.002,120:120,1:6:8,*.*.*,*.*.*,*.*.*,AMARELO_REVISAR,,gemini,0.72,1,AMARELO_REVISAR,,,,,,,,"68,00",,120:120,*.*.*,,,,0,
000002,drive-download-20260403T124026Z-3-001_224929\605060006.pdf,,2,trifasico,1,1740,220/380,4,60,,,,"81,40 FLAMADO",SEM,1 X 25 + 1 X 26 (COBRE) - 10.5002.003 + 10.5002.004,60:60:60,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,"81,40 FLAMADO",,60:60:60,,,,,0,
000003,drive-download-20260403T124026Z-3-001_224929\605060007.pdf,,3,trifasico,"1,5",1730,220/380,4,60,,,95,"81,40",SEM,2 X 24 (COBRE),45/45/45,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,VERDE_SEGURO,,,,,,,,"81,40",,45/45/45,,,,,0,
000004,drive-download-20260403T124026Z-3-001_224929\605060008.pdf,,4,trifasico,2,1740,220/380,4,60,,,100,"89,40",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,38:38 / 38,1:8:10 / 1:8,***.***,***.***,***.***,VERDE_AUTO_GEMINI,,gemini,1.00,0,VERDE_SEGURO,,,,,,,,"89,40",,38:38 / 38,***.***,,,,0,
000005,drive-download-20260403T124026Z-3-001_224929\605060009.pdf,,5,trifasico,3,1740,220/380,4,60,IEC 90,36,120,89.40 FLAMADO,SEM,2 X 21 (COBRE) - 10.5002.008,29 / 29 / 29,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,89.40 FLAMADO,,29 / 29 / 29,,,,,0,
000006,drive-download-20260403T124026Z-3-001_224929\605060706.pdf,,6,trifasico,1,1740,220/380/440,4,60,IEC 80,36,75,"81,40",SEM,1 X 25,114/114/114,1:8/10/1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"81,40",,114/114/114,,,,,0,
000007,drive-download-20260403T124026Z-3-001_224929\605060708.pdf,,7,trifasico,2,1750,220/380/440,4,60,IEC 90,36,100,89.40,SEM,1 X 25 + 1 X 26 (COBRE) - 10.5002.003 + 10.5002.004,74/74/74,1:8:10 / 1:8,***,***,***,VERDE_AUTO_GEMINI,,gemini,1.00,0,VERDE_SEGURO,,,,,,,,89.40,,74/74/74,***,,,,0,
000008,drive-download-20260403T124026Z-3-001_224929\605061007.pdf,,8,trifasico,"1,5",3420,220/380,2,60,IEC 80,24,70,"61,40",SEM,2 X 23 (COBRE) - 10.5002.001,60:60,1:10:12,,,,AMARELO_REVISAR,,gemini,0.72,1,AMARELO_REVISAR,,,,,,,,"61,40",,60:60,,,,,0,
000009,drive-download-20260403T124026Z-3-001_224929\605061008.pdf,,9,trifasico,2,3380,220/380,2,60,IEC 80,24,80,"61,40",SEM,1 X 22 + 1 X 23 (COBRE) - 10.5002.009 + 10.5002.001,52:52,1:10:12,*.*.*,*.*.*,*.*.*,VERDE_AUTO_GEMINI,,gemini,0.90,0,VERDE_SEGURO,,,,,,,,"61,40",,52:52,*.*.*,,,,0,
000010,drive-download-20260403T124026Z-3-001_224929\605061009.pdf,,10,trifasico,3,3470,220/380,2,60,IEC 90,24,100mm,,SEM,3 X 22 (COBRE),36:36,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.95,0,VERDE_SEGURO,,,,,,,,,,36:36,,,,,0,
000011,drive-download-20260403T124026Z-3-001_224929\605061010.pdf,,11,trifasico,4,3470,220/380,2,60,IEC 90,24,115,"74,20 FLAMADO",SEM,3 X 21 (COBRE) - 10.5002.008,29:29,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,1.00,0,VERDE_SEGURO,,,,,,,,"74,20 FLAMADO",,29:29,,,,,0,
000012,drive-download-20260403T124026Z-3-001_224929\605062006.pdf,,12,trifasico,1,1740,220/380,4,60,IEC 80,36,75,"81,40 FLAMADO",SEM,1 X 25 + 1 X 26 (COBRE) - 10.5002.003 + 10.5002.004,60:60/60,1:8:10 / 1:8,***,***,***,VERDE_AUTO_GEMINI,,gemini,0.85,0,VERDE_SEGURO,,,,,,,,"81,40 FLAMADO",,60:60/60,***,,,,0,
