id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 2 CV-C 80 A -220- 6P.pdf,,1,monofasico,1/2,,220,6,60,80a,36,59,855,20MF/380VAC,23,35,1;7,23,35,1;7,VERDE_AUTO_GEMINI,,gemini,0.90,0
000002,drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 2 CV-C80A -110-220- 6P.pdf,,2,monofasico,1/2,,110/220,6,60,80a,36,59,855,50MF/250VAC,23,37,1:7,20,23,1:7,VERDE_AUTO_GEMINI,,gemini,0.90,0
000003,drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 2 CV-C80A -127- 6P.pdf,,3,monofasico,1/2,,127,6,60,80a,36,59,855,40MF/250VAC,2 x 23,22,1:7,21,26,1:7,VERDE_AUTO_GEMINI,,gemini,0.90,0
000004,drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  3 4 CV-C80B -110-220- 6P.pdf,,4,monofasico,3/4,,110/220,6,60,80b,36,75,855,60MF/250VAC,23 + 24,26,1:7,2 x 22,18,1:7,VERDE_AUTO_GEMINI,,gemini,0.90,0
000005,drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  3 4 CV-C80B -127- 6P.pdf,,5,monofasico,3/4,,127,6,60,80b,36,75,855,50MF/250VAC,21 + 22,15,1:7,22 + 23,20,1:7,VERDE_AUTO_GEMINI,,gemini,0.90,0
000006,drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  3 4 CV-C80B -220- 6P.pdf,,6,monofasico,3/4,,220,6,60,80b,36,75,855,25MF/380VAC,21,29,1:7,21,29,1:7,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,"drive-download-20260403T124026Z-3-001_224929\1,15cv 2p nema42 2 50,60hz 20x57.9 605013152.pdf",,7,monofasico,1/15,2880 / 3475,220,2,50/60,NEMA 42,24,20,"57,90",10UF 400VAC,1 X 25 (ALUMINIO),90:106:134:140,1:6:8:10:12,1 X 23 (ALUMINIO),18:28:94:100,1:6:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.90,0
000008,"drive-download-20260403T124026Z-3-001_224929\1,16cv 2p iec63r 23 60hz 25x49.4 605013018.pdf",,8,trifasico,1/16,3455,220/380,2,60,IEC 63R,24,,49.40,SEM,1 X 30,250:250,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000009,"drive-download-20260403T124026Z-3-001_224929\1,16cv 2p iec63r 23 60hz 25x49.4 605013037.pdf",,9,trifasico,1/16,3455,220/380,2,60,,24,,"49,40",SEM,1 X 30 (COBRE) - 10.5002.013,250:250,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000010,"drive-download-20260403T124026Z-3-001_224929\1,6cv 4p iec63 12 60hz 35x56.4 605009001.pdf",,10,monofasico,1/6,1660,127/220,4,60,IEC 63,24,,"56,40",25UF 250VAC,2 X 26,56:71,1:4:6,1 X 25,24:114,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000011,"drive-download-20260403T124026Z-3-001_224929\1,6cv 4p iec63r 24 60hz 40x56.4 605013180.pdf",,11,trifasico,1/6,1610,220/440,4,60,IEC 63R,24,40mm,"56,40",SEM,1 X 30 (COBRE) - 10.5002.013,290:290,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000012,"drive-download-20260403T124026Z-3-001_224929\1,7cv 4p iec63r 2 50,60hz 50x56.4 605012285.pdf",,12,monofasico,1/7,1335 / 1650,220,4,50/60,IEC 63R,24,50,"56,40",SEM,1 X 27,95:156,1:4:6,1 X 28,75:180,1:4:6,VERDE_AUTO_GEMINI,,gemini,0.90,0
000013,"drive-download-20260403T124026Z-3-001_224929\1,8cv 2p iec63r 12 60hz 40x49.2 605042114.pdf",,13,monofasico,1/8,3510,110/220,2,60,IEC 63R,24,40,"49,20",20UF 250VAC,1 X 25 (COBRE) - 10.5002.003,84:98:105,1:8:10:12,1 X 24 (COBRE) - 10.5002.002,63:74:79,1:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.85,0
