id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano
000001,drive-download-20260403T124026Z-3-001_224929\605015131.pdf,,1,trifasico,1,3500,220/380,2,60,IEC 90,24,50,"74,40",SEM,2 X 23,72:72,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0
000002,drive-download-20260403T124026Z-3-001_224929\605016087.pdf,,2,monofasico,1/2,2595,220,2,50,IEC 63R,24,45,"49,30",15UF/380VAC,1 X 25 (COBRE) - 10.5002.003,94:96:98,1:8:10:12,1 X 25 (COBRE) - 10.5002.003,94:96:98,1:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.80,0
000003,drive-download-20260403T124026Z-3-001_224929\605016201.pdf,,3,trifasico,1,3400,220/380,2,60,NEMA 42,24,75,"57,70",SEM,1 X 21 (ALUMINIO) - 10.5025.004,60:60,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000004,drive-download-20260403T124026Z-3-001_224929\605017014.pdf,,4,monofasico,1,3510,110-127/220-254,2,60,NEMA 56,24,55,"71,70",540/648UF,2 X 20 (COBRE),14:34:37:40,1:6:8:10:12,2 X 19 (ALUMINIO),16:25:26,1:8:10:12,VERDE_AUTO_GEMINI,,gemini,0.80,0
000005,drive-download-20260403T124026Z-3-001_224929\605017020.pdf,,5,trifasico,10,3490,220/380,2,60,IEC 112,36,,"97,00",SEM,4 X 22 (COBRE) - 10.5002.009,31:31:31,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000006,drive-download-20260403T124026Z-3-001_224929\605026002.pdf,,6,trifasico,3/4,3340,220/380,2,60,NEMA 42,24,50,"57,90",SEM,1 X 23 (COBRE) - 10.5002.001,86:86,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0
000007,drive-download-20260408T000443Z-3-001_253069\BOBI.PDF,,7,trifasico,,,220/127 VOLTS,4P,60,,,90 mm,,,2X #16 Al,16/17/16,,#16 Cu,02/17/16,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.90,1
000008,drive-download-20260408T000443Z-3-001_253069\EST.PDF,,8,trifasico,,,220/127,4,60,,36,,,,"1,5 mm²",,1 a 10,"1,0 mm²",,1 a 10,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.90,1
000009,drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,,9,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.00,1
000010,drive-download-20260408T000443Z-3-001_253069\REGULADOR ESCOVA.pdf,,10,outro,,,220/380,,,,,,,,,,,,,,VERDE_AUTO_GEMINI,baixa_confianca_local,gemini,0.90,0
000011,drive-download-20260408T000443Z-3-001_253069\ROT.PDF,,11,outro,,,,4,60,,,90,160.50,,14,170,,,,,AMARELO_REVISAR,faltando_obrigatorio;baixa_confianca_local,gemini,0.90,1
000012,drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,,12,monofasico,,,,8,,,24,,,,,08:20:36,1:3:5,,,1:4:1,AMARELO_REVISAR,faltando_obrigatorio,gemini,0.90,1
000013,drive-download-20260408T000517Z-3-001_345175\ventiladores 1.pdf,,13,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local;gemini_falhou:unknown_error:Extra data: line 63 column 4 (char 1544),local,0.00,1
000014,drive-download-20260408T000517Z-3-001_345175\ventiladores 2.pdf,,14,outro,,,,,,,,,,,,,,,,,VERMELHO_REVISAR,faltando_obrigatorio;baixa_confianca_local;gemini_falhou:unknown_error:Extra data: line 64 column 4 (char 1496),local,0.00,1
