arquivo_rel,sha256_arquivo,queue_type,motivo_codigo,recomendacao,status_extrato,notas
drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,8ebb46f3aca104cae7d9b3396333b918601ef78ff2fe4ca23aaf4c87dba9c1bf,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,722e1918a138b180323cb1e4cd96cf926ccf631ea54592d06daa0b5edd9c95b4,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,b0a01317980d34640ecc25c37cf4f21ddfcbe3675c621d94edd5ec91cc0cb451,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,087cced75075cc99f0f1af1e0e6c40b008c451dc9b07ec0fc0b25669c404b90f,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,74e0992b8389bf83fe84625eec0173f993986dd5844272ee2a64003283e9a97e,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000529Z-3-001_185960\bda2a6e0-62ba-4738-8a58-964852f4ad8d.jpg,3e0270c1ace0828b6b71b592e7d287358ba0a92b54c28ee6fe361c53679e49cb,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000529Z-3-001_185960\dc81f9cf-0541-4d2d-87c5-686e9c194c01.jpg,4e1396673e688ee53dc5d33e9af2605ace7ba119704408620c52777fb0d2a1e4,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000529Z-3-001_185960\f837d1fb-1d86-4e42-aa6a-9eaa9c696086.jpg,a07d0fa88284652793db13d4bf083290cb098c575f63b4198891a507ccbd3484,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,bec50336eab15235267630e1fdc0a7a5b3a85df01b4c91063f040336f48afc1d,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
drive-download-20260408T000605Z-3-001_290649\arno.jpg,a7f7b6c052e85fde55e29c61590bfc5d3e3c0b181d2fd6e354a98c8905319129,MANUAL_REVIEW_SEM_RETRY_GEMINI_PASS1,AMARELO_APOS_PASS1_V2_REVISAR_EXTRAÇÃO_OU_REGRA,NAO_RETRY_GEMINI_AGORA_REVISAR_PDF_OU_AUDITORIA,AMARELO_REVISAR,Detectado em categorized PASS1-LITE V2 bloco 70.
