id_local,arquivo,lote,ordem,tipo_motor,potencia_cv,rpm,tensao,polos,frequencia,carcaca,ranhuras,pacote_mm,diametro_mm,capacitor,fio_principal,espiras_principal,passo_principal,fio_auxiliar,espiras_auxiliar,passo_auxiliar,status_revisao,motivos_bloqueio,fonte_extracao,confianca,precisa_humano,potencia_cv_original_auditor,potencia_cv_normalizada,audit_normalizacao_rastreavel,audit_power_trace_note,audit_tipo_motor_sugerido,audit_type_trace_note,audit_rpm_original,audit_rpm_normalizado,audit_rpm_trace_note,audit_outlier_mecanico,audit_outlier_trace_note,diametro_mm_original_auditor,diametro_mm_normalizado,espiras_principal_original_auditor,espiras_auxiliar_original_auditor,espiras_principal_normalizada,espiras_auxiliar_normalizada,audit_espiras_trace_note,audit_trace_note,alertas,alertas_warnings,alertas_criticos,n_alertas,n_alertas_blocking,n_alertas_warnings,n_alertas_criticos
000001,drive-download-20260403T124026Z-3-001_224929\605028115.pdf,,1,trifasico,"12,5",2900,220/380/440,2,50,IEC 132,36,150,111.80 FLAMADO,SEM,2 X 20 + 2 X 21 (COBRE),25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.80,0,"12,5",,1,decimal_sem_frac_strong_manter_critico_manual,,,2900,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),,,111.80 FLAMADO,,25:25:25,,,,,faixa_rpm_2p_monofreq_50Hz=(2500-3200)_ref_padrao_60Hz=(2800-3700),"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,1,0,1
000002,drive-download-20260403T124026Z-3-001_224929\605028315.pdf,,2,trifasico,"12,5",3490,380/660,2,60,IEC 132,36,,"111,80",SEM,2 X 20 (COBRE) - 10.5002.010,43:43:43,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"12,5",,,decimal_sem_frac_strong_manter_critico_manual,,,3490,,,,,"111,80",,43:43:43,,,,,,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,1,0,1
000003,drive-download-20260403T124026Z-3-001_224929\605028715.pdf,,3,trifasico,"12,5",3490,220/380/440,2,60,IEC 132,36,140,"111,80",SEM,2 X 20 + 2 X 21 (COBRE) - 10.5002.010 + 10.5002.008,25:25:25,1:14:16:18,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"12,5",,,decimal_sem_frac_strong_manter_critico_manual,,,3490,,,,,"111,80",,25:25:25,,,,,,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,1,0,1
000004,drive-download-20260403T124026Z-3-001_224929\605029715.pdf,,4,trifasico,"12,5",1750,220/380/440,4,60,IEC 132,48,150,"148,60 FLAMADO",SEM,6 X 22 (COBRE) - 10.5002.009,25:25,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"12,5",,,decimal_sem_frac_strong_manter_critico_manual,,,1750,,,,,"148,60 FLAMADO",,25:25,,,,,,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",,"A07_potencia_decimal_sem_evidencia_frac_potencia_cv=12,5",1,1,0,1
000005,drive-download-20260403T124026Z-3-001_224929\605041001.pdf,,5,trifasico,1/3,3583,180,4,120,IEC 63,24,40mm,"56,40",SEM,1 X 24 (COBRE) - 10.5002.002,94:94,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.85,0,1/3,,,,,,3583,,nenhum_in_band; rpms=[3583]; freq=120,,,"56,40",,94:94,,,,,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3583,,A08_rpm_fora_faixa_polos_4p_(1200-1900)_rpm=3583,1,1,0,1
000006,drive-download-20260403T124026Z-3-001_224929\605058006.pdf,,6,trifasico,1,1740,220/380,4,60,IEC 80,36,75,"81,40","81,40",1 X 25 + 1 X 26 (COBRE) - 10.5002.003 + 10.5002.004,60/60/60,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,,,,,1740,,,,,"81,40",,60/60/60,,,,,,,,,0,0,0,0
000007,drive-download-20260403T124026Z-3-001_224929\605060004.pdf,,7,trifasico,1/2,1680,220/380,4,60,NEMA 42,,70,"68,00",SEM,1 X 24,120:120,1:6:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1/2,,,,,,1680,,,,,"68,00",,120:120,,,,,,,,,0,0,0,0
000008,drive-download-20260403T124026Z-3-001_224929\605061007.pdf,,8,trifasico,"1,5",3420,220/380,2,60,,24,70,"61,40","61,40",2 X 23,60:60,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,3420,,,,,"61,40",,60:60,,,,,,,,,0,0,0,0
000009,drive-download-20260403T124026Z-3-001_224929\605064006.pdf,,9,trifasico,1,3380,220/380,2,60,NEMA 42,24,70,"57,90",SEM,1 X 24 + 1 X 25 (COBRE),64,1:10:12,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,1,,,,,,3380,,,,,"57,90",,64,,,,,,,,,0,0,0,0
000010,drive-download-20260403T124026Z-3-001_224929\605065007.pdf,,10,trifasico,"1,5",1730,220/380,4,60,IEC 80,36,95,"81,40",SEM,2 X 24,45/45/45,1:8:10 / 1:8,,,,VERDE_AUTO_GEMINI,,gemini,0.90,0,"1,5",,,,,,1730,,,,,"81,40",,45/45/45,,,,,,,,,0,0,0,0
