sha256_arquivo,arquivo_rel,motivos
db41c8363ea29131ed79a447c3f43194f60b804f5ac20ee299446c923da7f667,drive-download-20260403T124026Z-3-001_224929\605017021.pdf,IN_ALERT_MANIFEST_a|ISOLADO_OU_NO_AUTO_BASENAME_c
541026e53e4097b1a4b0a2d4ec28c09667210ef1d54b8677615ee621e922441f,drive-download-20260403T124026Z-3-001_224929\605017020.pdf,IN_MANUAL_REVIEW_b|ISOLADO_OU_NO_AUTO_BASENAME_c
658c91c99aa0bd3e5e210602352c06b0e782d4858cb9f8f60145818f9f3c0048,drive-download-20260403T124026Z-3-001_224929\605029315.pdf,ISOLADO_OU_NO_AUTO_BASENAME_c
c8fbc40159f4289e77f1a42594b468aa2381ccb3821ced855a5c8eba0a9b19dd,drive-download-20260403T124026Z-3-001_224929\605026002.pdf,IN_MANUAL_REVIEW_b|ISOLADO_OU_NO_AUTO_BASENAME_c
f4c1106542b215aca4a1e942bae7cdb21e7407c5b1d39c707bfd2d42f8f18a59,drive-download-20260403T124026Z-3-001_224929\605029115.pdf,ISOLADO_OU_NO_AUTO_BASENAME_c
d2eff465099ef47779632f1be33c316de20cd6a9dc6e688aada455ba7bec00ed,drive-download-20260408T000443Z-3-001_253069\EST.PDF,IN_MANUAL_REVIEW_b|ISOLADO_OU_NO_AUTO_BASENAME_c
4f9e261ed69df99db9d4412c6011e09ef2fa99aaa8ec47d2f5b86aa743abe9b9,drive-download-20260403T124026Z-3-001_224929\605016001.pdf,IN_ALERT_MANIFEST_a
8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",IN_MANUAL_REVIEW_b
06250a25dc0c4439732b73fc73a2022a1c095cd8f72c4def22604794cd06c821,drive-download-20260403T124026Z-3-001_224929\605015131.pdf,IN_MANUAL_REVIEW_b|ISOLADO_OU_NO_AUTO_BASENAME_c
cfe77eb02028ff5eea92a630c56c90fad92bf119243b75da3ba0b53ec6bc2ca9,drive-download-20260403T124026Z-3-001_224929\605016002.pdf,IN_ALERT_MANIFEST_a
00700d0d44bddf7b116b76210bd23397f2c5ab8ae8b1cb82aef43b16558cff07,drive-download-20260403T124026Z-3-001_224929\605017014.pdf,IN_MANUAL_REVIEW_b|ISOLADO_OU_NO_AUTO_BASENAME_c
6d4d29d8a02c669b8137a8f0980370183a111ff68ed507e43eb73e8f6f4e2222,drive-download-20260403T124026Z-3-001_224929\605016201.pdf,IN_MANUAL_REVIEW_b|ISOLADO_OU_NO_AUTO_BASENAME_c
2376a4d7b906e5abde47d8663f7551543666a1ae87cfa47155496e2cd26e5e22,drive-download-20260403T124026Z-3-001_224929\605016087.pdf,IN_MANUAL_REVIEW_b|ISOLADO_OU_NO_AUTO_BASENAME_c
775a68ef06ab88e4356b16f9a68450c35c44d4196ad25ce4cf65bcc988a198af,drive-download-20260408T000443Z-3-001_253069\BOBI.PDF,IN_MANUAL_REVIEW_b|ISOLADO_OU_NO_AUTO_BASENAME_c
