arquivo_rel,sha256_arquivo,melhor_status,fonte_ultimo_processamento,output_tag,status_release,fonte_release,overlap_release_v1,overlap_indice_verde,nota_indice,updated_at_indice
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 12CV-C56A -127- 2P.pdf,f7afc38e390e7c79f82a23797d38aa08d07031c0643d36038ce82fd0e0de64e5,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 12CV-C63A -127- 4P.pdf,8c8e5151c956326e558a03994627f632bcffcc64979233d8c836b235db8efbe7,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 2 CV-C71B -127- 4P.pdf,aa55bdd97ac011714b6d0b45b19c223b50d7535a5d2c9b178933c1ecfc567fc0,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 3 CV-C63B -110-220- 2P.pdf,11240b2cc641a1ebf6e269fd30d3e383405610f8ecdd2fd1cdc38a13d0769c46,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 3 CV-C63B -127- 2P.pdf,68f3b81defaf2bd9aa916bfb9e8def06bf81d1245c7e2ae97aa96717d58fbd2e,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 3 CV-C71A -127- 4P.pdf,fcdca8820060d775ff31dc53eea25c981b12509aa56c2eeb00cf20dc336af78b,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 3 CV-C71C -110-220- 6P.pdf,da55a93f62cb6e78d0aba5279b535a219b0ba9846438afa75d6a9909c9534938,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 4 CV-C63A -110-220- 2P.pdf,69179cc7566a90f257c9bc30ebccfac78e0bfc89392e8ebb12f7991f920cdfc5,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 4 CV-C63B -127- 4P.pdf,6653e86cffe56ecc70294fdcb92652ce55d1b08a19cf854cabbbeb339ab132bf,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
drive-download-20260403T123335Z-3-001_145302\VOGE MONOFASICO CAP. PERMANENTE BK  1 4 CV-C71B -127- 6P.pdf,f0549b9aa0e2fb4c51ad7375f5d4d4cda5e4b071a229548181de548394aa723d,VERDE_SEGURO,review/extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green_candidates.csv,extraidos_motor_cycle20_pass1_flash_lite_01_reaudit_outliers_categorized_safe_green,OFICIAL,INDICE_VERDE_LIMPO,false,true,INDICE_VERDE_LIMPO_CRITERIO_ORIGINAL,2026-04-30T22:31:59Z
