arquivo_rel,sha256_arquivo,queue_type,reason,sort
"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",4c693f23e4a6ff9e4af50a36d4bdb6ea15fdc31ad550a17ee98c706d8f8201ff,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,1
"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,2
drive-download-20260403T124026Z-3-001_224929\605012318.pdf,e30a487dd7d5bb88dfedb5e61fb82c124c905958fadcd2e200fc8b7d8102b636,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,3
drive-download-20260403T124026Z-3-001_224929\605012319.pdf,c07b8fc26729c2f6046e9d94825f9d2bc006dd761ac9b5807d41b19e273dc33d,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,4
drive-download-20260403T124026Z-3-001_224929\605012320.pdf,d900138491e28a144627d2239bff15df662fa8b536913f1f5f27287caf4c0c4b,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,5
drive-download-20260403T124026Z-3-001_224929\605012321.pdf,89e909189cc8be2b7ab8b636b48473b7955c632b124285cca2b6768e7b61f092,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,6
drive-download-20260403T124026Z-3-001_224929\605012324.pdf,a712c46e799f0d8561305752955f88c437b5ae66a06b5ebc1c62ed18a86ea739,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,7
drive-download-20260403T124026Z-3-001_224929\605012333.pdf,37a6414758259b4ce6e8527658dabea40c8464d55d8b97fcb4235c97e5c0bfa8,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,8
drive-download-20260403T124026Z-3-001_224929\605012334.pdf,9fc19e03ca92755ae99355f2a875152926ca44d9f938b2237c2d4e1ffb54998f,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,9
drive-download-20260403T124026Z-3-001_224929\605012335.pdf,41579ea4c2e6406a4ba606a0c82499ef7710558663709f4a637cfaf8762021ad,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,10
drive-download-20260403T124026Z-3-001_224929\605012339.pdf,2f90cfc4ad5f49446a61e7c4879522c50a45b037e54bcee64894c9208b31b04f,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,11
drive-download-20260403T124026Z-3-001_224929\605012360.pdf,3dda32e9a67cc55937b89cf727602ed42952879e4b4fdd41eda76ae13fc5c90b,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,12
drive-download-20260403T124026Z-3-001_224929\605012363.pdf,4d6e25c5f9ab5205cf3b31915317f45e0c0e7ed0e84ff964581dbdc76aa287ad,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,13
drive-download-20260403T124026Z-3-001_224929\605012381.pdf,2507f195388415e52968ebda59fc7d37fe8706e9d6b69a0f742971a4c6b268a5,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_55|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|generated_offline,14
