arquivo_rel,sha256_arquivo,queue_type,reason,sort
"drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf",4c693f23e4a6ff9e4af50a36d4bdb6ea15fdc31ad550a17ee98c706d8f8201ff,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,1
"drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf",8554fe74778230d315df2d5c011cf6e63b17896ca9da067fd00bd898e9731169,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,2
drive-download-20260403T124026Z-3-001_224929\605012335.pdf,41579ea4c2e6406a4ba606a0c82499ef7710558663709f4a637cfaf8762021ad,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,3
drive-download-20260403T124026Z-3-001_224929\605013168.pdf,bf88baa3babad6cba9e38e2e66595c14ab4775fed7597ae6cdecdda422a34a9f,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,4
drive-download-20260403T124026Z-3-001_224929\605015131.pdf,06250a25dc0c4439732b73fc73a2022a1c095cd8f72c4def22604794cd06c821,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,5
drive-download-20260403T124026Z-3-001_224929\605016001.pdf,4f9e261ed69df99db9d4412c6011e09ef2fa99aaa8ec47d2f5b86aa743abe9b9,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,6
drive-download-20260403T124026Z-3-001_224929\605016002.pdf,cfe77eb02028ff5eea92a630c56c90fad92bf119243b75da3ba0b53ec6bc2ca9,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,7
drive-download-20260403T124026Z-3-001_224929\605016087.pdf,2376a4d7b906e5abde47d8663f7551543666a1ae87cfa47155496e2cd26e5e22,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,8
drive-download-20260403T124026Z-3-001_224929\605016201.pdf,6d4d29d8a02c669b8137a8f0980370183a111ff68ed507e43eb73e8f6f4e2222,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,9
drive-download-20260403T124026Z-3-001_224929\605017014.pdf,00700d0d44bddf7b116b76210bd23397f2c5ab8ae8b1cb82aef43b16558cff07,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,10
drive-download-20260403T124026Z-3-001_224929\605017020.pdf,541026e53e4097b1a4b0a2d4ec28c09667210ef1d54b8677615ee621e922441f,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,11
drive-download-20260403T124026Z-3-001_224929\605017021.pdf,db41c8363ea29131ed79a447c3f43194f60b804f5ac20ee299446c923da7f667,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,12
drive-download-20260403T124026Z-3-001_224929\605026002.pdf,c8fbc40159f4289e77f1a42594b468aa2381ccb3821ced855a5c8eba0a9b19dd,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,13
drive-download-20260403T124026Z-3-001_224929\605029115.pdf,f4c1106542b215aca4a1e942bae7cdb21e7407c5b1d39c707bfd2d42f8f18a59,MUTIRAO_TAIL_REPROCESS,mutirao_sidecar_block_58,14
