arquivo_rel,sha256_arquivo,queue_type,reason,sort
drive-download-20260408T000443Z-3-001_253069\ROT.PDF,4f273f067082d0739075a014e13e9362649c9259de4338ccc93e80463213e2ec,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_35_manual_review.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,1
drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,8ebb46f3aca104cae7d9b3396333b918601ef78ff2fe4ca23aaf4c87dba9c1bf,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_35_manual_review.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,2
drive-download-20260408T000517Z-3-001_345175\ventiladores 2.pdf,26b82d895ad8b2fcebd1bc618332c9b151e81c56a6e5083891ec42c85c6ac2e8,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_35_manual_review.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,3
drive-download-20260408T000517Z-3-001_345175\ventiladores 3.pdf,2faf8046401f30ff1c26f0e896e3fd6208e9d60aeb457115b8f416d899c65900,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_35_manual_review.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,4
drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,bec50336eab15235267630e1fdc0a7a5b3a85df01b4c91063f040336f48afc1d,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_35_manual_review.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,5
drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,ebd33a6dc9161c8f2bcf50cff3a45d813f6fd22aefdfa95313a899fa8cffe722,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_34.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,6
drive-download-20260408T000517Z-3-001_345175\ventiladores 1.pdf,8f09f57788054e49017811558f2cfa1e87993e5fb9545dab1457454143034ca2,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_35.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,7
drive-download-20260408T000529Z-3-001_185960\0b36da0a-68fa-411f-8d98-42612aac07cd.jpg,3332b9c274227df656caa85233dd4ca8bb216500d625f0a33d095d5192631d41,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_61.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,8
drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,722e1918a138b180323cb1e4cd96cf926ccf631ea54592d06daa0b5edd9c95b4,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_61.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,9
drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,b0a01317980d34640ecc25c37cf4f21ddfcbe3675c621d94edd5ec91cc0cb451,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_61.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,10
drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,087cced75075cc99f0f1af1e0e6c40b008c451dc9b07ec0fc0b25669c404b90f,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_61.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,11
drive-download-20260408T000529Z-3-001_185960\6bbe2fd4-7adf-44a6-bdde-b89413fd6628.jpg,2a4387d804f001cc567375187472d0c4b747cc8e0369fbdad48318ecc86f4b1a,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_61.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,12
drive-download-20260408T000529Z-3-001_185960\7a381ec7-685e-4eb4-bf68-a2470fcf7637.jpg,3bc14b52f893e1a3318a6e2dc386e11eb202da481f318cddcbd10a3731833301,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_61.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,13
drive-download-20260408T000529Z-3-001_185960\80dae8d4-2a6d-4153-8b6c-c84b919e1600.jpg,e22f4e354c77e01ca5fec86177de0f5216854f256f4da5d8308ad5406e617a1a,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_61.csv|massa_inedita_fisica_block_61|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,14
