arquivo_rel,sha256_arquivo,queue_type,reason,sort
drive-download-20260408T000529Z-3-001_185960\VENTILADOR 3 VELOCIDADES.pdf,bec50336eab15235267630e1fdc0a7a5b3a85df01b4c91063f040336f48afc1d,PENDENCY_INFRA_RETRY,from=pass1_v2_block_61.csv|ventilador_priority|infra=gemini_quota_or_keys|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,1
drive-download-20260408T000511Z-3-001_428675\esquema vent. de ar.pdf,8ebb46f3aca104cae7d9b3396333b918601ef78ff2fe4ca23aaf4c87dba9c1bf,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,2
drive-download-20260408T000529Z-3-001_185960\1d217467-02db-4a7f-8017-ea2f9ac0a715.jpg,722e1918a138b180323cb1e4cd96cf926ccf631ea54592d06daa0b5edd9c95b4,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,3
drive-download-20260408T000529Z-3-001_185960\1d9b3430-0b16-4701-b724-661974ff8b49.jpg,b0a01317980d34640ecc25c37cf4f21ddfcbe3675c621d94edd5ec91cc0cb451,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,4
drive-download-20260408T000529Z-3-001_185960\324e6cbc-2bab-43ed-9303-2d560b1da7ec.jpg,087cced75075cc99f0f1af1e0e6c40b008c451dc9b07ec0fc0b25669c404b90f,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,5
drive-download-20260408T000529Z-3-001_185960\8bc49b76-90d1-4f38-bd2f-86cd93ad3689.jpg,74e0992b8389bf83fe84625eec0173f993986dd5844272ee2a64003283e9a97e,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,6
drive-download-20260408T000529Z-3-001_185960\bda2a6e0-62ba-4738-8a58-964852f4ad8d.jpg,3e0270c1ace0828b6b71b592e7d287358ba0a92b54c28ee6fe361c53679e49cb,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,7
drive-download-20260408T000529Z-3-001_185960\dc81f9cf-0541-4d2d-87c5-686e9c194c01.jpg,4e1396673e688ee53dc5d33e9af2605ace7ba119704408620c52777fb0d2a1e4,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,8
drive-download-20260408T000529Z-3-001_185960\f837d1fb-1d86-4e42-aa6a-9eaa9c696086.jpg,a07d0fa88284652793db13d4bf083290cb098c575f63b4198891a507ccbd3484,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,9
drive-download-20260408T000605Z-3-001_290649\arno.jpg,a7f7b6c052e85fde55e29c61590bfc5d3e3c0b181d2fd6e354a98c8905319129,PENDENCY_MANUAL_PASS1,from=extraidos_motor_fase7a_pass1_v2_block_69_manual_review.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,10
drive-download-20260408T000443Z-3-001_253069\REGULADOR CR.pdf,ebd33a6dc9161c8f2bcf50cff3a45d813f6fd22aefdfa95313a899fa8cffe722,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_34.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,11
drive-download-20260408T000629Z-3-001_255314\bufalo 2.jpg,49bf38a406ed7ea65ff7c3cdfa107214f4460a716afd3d5325ba2099a0d70525,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_46.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,12
drive-download-20260408T000629Z-3-001_255314\bufalo.jpg,d6f268bdbc3fd81c64062eef5524c62329be5748f08229c16cfb7e79a54bd0d6,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_46.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,13
drive-download-20260408T000629Z-3-001_255314\GE 1.jpg,e4ea7825dcbf970b37b7612c9d2e77032a6df146493118f6283389310fe99705,PENDENCY_PRIOR_QUEUE,from=pass1_v2_block_46.csv|massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,14
drive-download-20260408T000629Z-3-001_255314\GE 2(1).jpg,d6952d6ad14215d9af476c87e27f8c410dddcf43a4a1f7d9808a82b502abafcc,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,15
drive-download-20260408T000629Z-3-001_255314\ge 2.jpg,6bc956470d5e520cf6b9a6e13c39ec100b00d69230e1d67e9ce9052a32b4898e,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,16
drive-download-20260408T000629Z-3-001_255314\GE 3.jpg,2b0a259cc0029dd58f3b52f482b3bca05f16e67cfb47d234b61280eff73ebc79,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,17
drive-download-20260408T000629Z-3-001_255314\ge 5.jpg,a4961e214d8cdd359a30b7de194b331f0335c3fe7eb9c137e02a7367b84d500d,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,18
drive-download-20260408T000629Z-3-001_255314\ge 6.jpg,09ee98acf6f63b8613e15f3c06d5f43262e50411821c640435d151b81c43295c,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,19
drive-download-20260408T000629Z-3-001_255314\ge.jpg,9d582471165e73b69fe56205de0734582423d050fe128bf8041b2faaed2a60c6,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,20
drive-download-20260408T000629Z-3-001_255314\ge4.jpg,ab9fe2599e94e75cdf9e61a0c575423189584d4e0241f094469afa602b88ec94,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,21
drive-download-20260408T000652Z-3-001_228997\siemens.jpg,568351b41702b29ece6a136b7a8c7026e25f84690512546d81c3c43e2752d6f3,NEW_UNPROCESSED_PASS1,massa_inedita_fisica_block_70|from=scan_physical_delta_vs_oficial|policy=sha_not_in_master_oficial|force_include_pendencies|generated_offline,22
