[2026-05-17 14:14:26] START dry_run=False input=C:\Users\micke\Desktop\O rebobinador\_extraidos_motor batch=14 output_tag=extraidos_motor_fase7a_pass1_v2_block_48_flash work_queue=exports/review/pass1_v2_block_48.csv
[2026-05-17 14:14:58] drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf -> AMARELO_REVISAR conf=0.90 source=gemini
[2026-05-17 14:15:38] drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-17 14:16:05] drive-download-20260403T124026Z-3-001_224929\12.5cv 2p iec132 234 60hz 112x150 606502420.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-17 14:16:30] drive-download-20260403T124026Z-3-001_224929\12.5cv 4p iec132 24 60hz 148.9x190 605084014.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:16:55] drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 50hz 61.4x70 605028106.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:17:11] drive-download-20260403T124026Z-3-001_224929\1cv 2p iec80 23 60hz 50x61.4 605015139.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:17:35] drive-download-20260403T124026Z-3-001_224929\1cv 2p iec90 23 50,60hz 50x74.4 605015208.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:17:56] drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 2 60hz 60x57.9 605012266.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:18:24] drive-download-20260403T124026Z-3-001_224929\1cv 2p nema42 23 60hz 70x57.9 605066006.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:22:19] drive-download-20260403T124026Z-3-001_224929\1cv 2p nema56 23 60hz 50x71.7 605015061.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:22:42] drive-download-20260403T124026Z-3-001_224929\1cv 4p iec90 23 60hz 89.5x75 605039014.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-17 14:23:01] drive-download-20260403T124026Z-3-001_224929\1cv 4p nema42 23 60hz 60x68 605007189.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:23:28] drive-download-20260403T124026Z-3-001_224929\1cv 4p nema56 12 50,60hz 65x97.4 605012175.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-17 14:24:00] drive-download-20260403T124026Z-3-001_224929\1cv 4p nema56 12 60hz 45x97.4 605046030.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
