[2026-05-18 19:28:05] START dry_run=False input=C:\Users\micke\Desktop\O rebobinador\_extraidos_motor batch=14 output_tag=extraidos_motor_fase7a_pass1_v2_block_56_flash work_queue=exports/review/pass1_v2_block_56.csv
[2026-05-18 19:28:36] drive-download-20260403T124026Z-3-001_224929\1,8cv 4e8p nema42 2 50,60hz 30x68 605012085.pdf -> AMARELO_REVISAR conf=0.90 source=gemini
[2026-05-18 19:29:14] drive-download-20260403T124026Z-3-001_224929\1.5cv 2,4p iec63r 2 260,150hz 70x56.4 605012237.pdf -> VERDE_AUTO_GEMINI conf=0.80 source=gemini
[2026-05-18 19:33:15] drive-download-20260403T124026Z-3-001_224929\605012335.pdf -> AMARELO_REVISAR conf=0.72 source=gemini
[2026-05-18 19:33:42] drive-download-20260403T124026Z-3-001_224929\605012382.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:34:02] drive-download-20260403T124026Z-3-001_224929\605012385.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:34:24] drive-download-20260403T124026Z-3-001_224929\605012388.pdf -> VERDE_AUTO_GEMINI conf=0.85 source=gemini
[2026-05-18 19:34:42] drive-download-20260403T124026Z-3-001_224929\605012397.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:35:13] drive-download-20260403T124026Z-3-001_224929\605012403.pdf -> VERDE_AUTO_GEMINI conf=0.85 source=gemini
[2026-05-18 19:35:35] drive-download-20260403T124026Z-3-001_224929\605012404.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:35:57] drive-download-20260403T124026Z-3-001_224929\605012405.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:36:17] drive-download-20260403T124026Z-3-001_224929\605012413.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:36:47] drive-download-20260403T124026Z-3-001_224929\605012426.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:37:09] drive-download-20260403T124026Z-3-001_224929\605013028.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
[2026-05-18 19:37:35] drive-download-20260403T124026Z-3-001_224929\605013055.pdf -> VERDE_AUTO_GEMINI conf=0.90 source=gemini
